"";"ICD-10";"PQI_num";"PQI_lab";"ICD-10-label";"Classification";"PQI_Composite";"Composite_label"
"1";"E1010";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACDIASD";NA;NA
"2";"E1010";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACSLEAD";NA;NA
"3";"E1021";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACDIALD";NA;NA
"4";"E1021";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with diabetic nephropathy";"ACSLEAD";NA;NA
"5";"J410";"PQI_05";"Chronic_Obstructive_Pulmonary_Disease_(COPD)_or_Asthma_in_Older_Adults_Admission_Rate";"Simple chronic bronchitis";"ACCOPDD";NA;NA
"6";"I10";"PQI_07";"Hypertension_Admission_Rate";"Essential (primary) hypertension";"ACSHYPD";NA;NA
"7";"I0981";"PQI_08";"Heart_Failure_Admission_Rate";"Rheumatic heart failure";"MRTCHFD";NA;NA
"8";"J13";"PQI_11";"Community_Acquired _Pneumonia_Admission_Rate";"Pneumonia due to Streptococcus pneumoniae";"ACSBACD";"PQI_91";"Prevention_Quality_Acute_Composite"
"9";"N10";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Acute pyelonephritis";"ACSUTID";"PQI_91";"Prevention_Quality_Acute_Composite"
"10";"N10";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Acute pyelonephritis";"ACSUTID";"PQI_90";"Prevention_Quality_Overall_Composite"
"11";"E10649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia without coma";"ACDIAUD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"12";"E10649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia without coma";"ACDIAUD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"13";"E10649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia without coma";"ACDIAUD";"PQI_90";"Prevention_Quality_Overall_Composite"
"14";"E10649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia without coma";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"15";"E10649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia without coma";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"16";"E10649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hypoglycemia without coma";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"17";"J4521";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Mild intermittent asthma with (acute) exacerbation";"ACSASTD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"18";"J4521";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Mild intermittent asthma with (acute) exacerbation";"ACSASTD";"PQI_90";"Prevention_Quality_Overall_Composite"
"19";"E1010";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACDIASD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"20";"E1010";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACDIASD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"21";"E1010";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACDIASD";"PQI_90";"Prevention_Quality_Overall_Composite"
"22";"E1010";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"23";"E1010";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"24";"E1010";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 1 diabetes mellitus with ketoacidosis without coma";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"25";"E1101";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with hyperosmolarity with coma";"ACDIASD";NA;NA
"26";"E1101";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with hyperosmolarity with coma";"ACSLEAD";NA;NA
"27";"E1121";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with diabetic nephropathy";"ACDIALD";NA;NA
"28";"E1121";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 2 diabetes mellitus with diabetic nephropathy";"ACSLEAD";NA;NA
"29";"J439";"PQI_05";"Chronic_Obstructive_Pulmonary_Disease_(COPD)_or_Asthma_in_Older_Adults_Admission_Rate";"Emphysema, unspecified";"ACCOPDD";NA;NA
"30";"I160";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive urgency";"ACSHYPD";NA;NA
"31";"I5041";"PQI_08";"Heart_Failure_Admission_Rate";"Acute combined systolic (congestive) and diastolic (congestive) heart failure";"MRTCHFD";NA;NA
"32";"J159";"PQI_11";"Community_Acquired _Pneumonia_Admission_Rate";"Unspecified bacterial pneumonia";"ACSBACD";"PQI_91";"Prevention_Quality_Acute_Composite"
"33";"N2886";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Ureteritis cystica";"ACSUTID";"PQI_91";"Prevention_Quality_Acute_Composite"
"34";"N2886";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Ureteritis cystica";"ACSUTID";"PQI_90";"Prevention_Quality_Overall_Composite"
"35";"E11649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hypoglycemia without coma";"ACDIAUD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"36";"E11649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hypoglycemia without coma";"ACDIAUD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"37";"E11649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hypoglycemia without coma";"ACDIAUD";"PQI_90";"Prevention_Quality_Overall_Composite"
"38";"E11649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hypoglycemia without coma";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"39";"E11649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hypoglycemia without coma";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"40";"E11649";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 2 diabetes mellitus with hypoglycemia without coma";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"41";"J4552";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Severe persistent asthma with status asthmaticus";"ACSASTD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"42";"J4552";"PQI_15";"Asthma_in_Younger_Adults_Admission_Rate";"Severe persistent asthma with status asthmaticus";"ACSASTD";"PQI_90";"Prevention_Quality_Overall_Composite"
"43";"E113531";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye";"ACDIALD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"44";"E113531";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye";"ACDIALD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"45";"E113531";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye";"ACDIALD";"PQI_90";"Prevention_Quality_Overall_Composite"
"46";"E113531";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye";"ACSLEAD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"47";"E113531";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye";"ACSLEAD";"PQI_92";"Prevention_Quality_Chronic_Composite"
"48";"E113531";"PQI_16";"Lower_Extremity_Amputation_among_Patients_with_Diabetes_Rate";"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye";"ACSLEAD";"PQI_90";"Prevention_Quality_Overall_Composite"
"49";"E1011";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACDIASD";NA;NA
"50";"E1011";"PQI_01";"Diabetes_Short-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with ketoacidosis with coma";"ACSLEAD";NA;NA
"51";"E1022";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with diabetic chronic kidney disease";"ACDIALD";NA;NA
"52";"E1022";"PQI_03";"Diabetes_Long-term_Complications_Admission_Rate";"Type 1 diabetes mellitus with diabetic chronic kidney disease";"ACSLEAD";NA;NA
"53";"J411";"PQI_05";"Chronic_Obstructive_Pulmonary_Disease_(COPD)_or_Asthma_in_Older_Adults_Admission_Rate";"Mucopurulent chronic bronchitis";"ACCOPDD";NA;NA
"54";"I119";"PQI_07";"Hypertension_Admission_Rate";"Hypertensive heart disease without heart failure";"ACSHYPD";NA;NA
"55";"I110";"PQI_08";"Heart_Failure_Admission_Rate";"Hypertensive heart disease with heart failure";"MRTCHFD";NA;NA
"56";"J14";"PQI_11";"Community_Acquired _Pneumonia_Admission_Rate";"Pneumonia due to Hemophilus influenzae";"ACSBACD";"PQI_91";"Prevention_Quality_Acute_Composite"
"57";"N12";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Tubulo-interstitial nephritis, not specified as acute or chronic";"ACSUTID";"PQI_91";"Prevention_Quality_Acute_Composite"
"58";"N12";"PQI_12";"Urinary_Tract_Infection_Admission_Rate";"Tubulo-interstitial nephritis, not specified as acute or chronic";"ACSUTID";"PQI_90";"Prevention_Quality_Overall_Composite"
"59";"E1065";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hyperglycemia";"ACDIAUD";"PQI_93";"Prevention_Quality_Diabetes_Composite"
"60";"E1065";"PQI_14";"Uncontrolled_Diabetes_Admission_Rate";"Type 1 diabetes mellitus with hyperglycemia";"ACDIAUD";"PQI_92";"Prevention_Quality_Chronic_Composite"
